,orderId,session,duration,orderType,instrument,instruction,quantity,quantity,filledQuantity,status,enteredTime
31,1898273536,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': 'G1151C101', 'symbol': 'ACN'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:40:32+0000
32,1898273539,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '110122108', 'symbol': 'BMY'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:40:33+0000
33,1898273538,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '038222105', 'symbol': 'AMAT'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:40:33+0000
34,1898273549,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '882508104', 'symbol': 'TXN'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:40:38+0000
35,1898273548,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '855244109', 'symbol': 'SBUX'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:40:38+0000
36,1898273551,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '92826C839', 'symbol': 'V'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:40:40+0000
37,1898273550,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '91324P102', 'symbol': 'UNH'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:40:39+0000
38,1898273545,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '478160104', 'symbol': 'JNJ'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:40:36+0000
39,1898273544,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '452308109', 'symbol': 'ITW'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:40:36+0000
40,1898273547,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '88579Y101', 'symbol': 'MMM'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:40:37+0000
41,1898273546,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': 'G5960L103', 'symbol': 'MDT'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:40:37+0000
42,1898273565,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '254687106', 'symbol': 'DIS'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:45:54+0000
43,1898273564,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '084670702', 'symbol': 'BRK.B'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:45:53+0000
44,1898273567,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '458140100', 'symbol': 'INTC'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:45:55+0000
45,1898273566,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '438516106', 'symbol': 'HON'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:45:54+0000
46,1898273561,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '053015103', 'symbol': 'ADP'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:45:52+0000
47,1898273560,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': 'G1151C101', 'symbol': 'ACN'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:45:51+0000
48,1898273563,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '110122108', 'symbol': 'BMY'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:45:53+0000
49,1898273562,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '038222105', 'symbol': 'AMAT'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:45:53+0000
50,1898273605,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '458140100', 'symbol': 'INTC'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:57:46+0000
51,1898273604,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '438516106', 'symbol': 'HON'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:57:46+0000
52,1898273607,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '478160104', 'symbol': 'JNJ'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:57:47+0000
53,1898273606,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '452308109', 'symbol': 'ITW'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:57:47+0000
54,1898273601,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '110122108', 'symbol': 'BMY'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:57:44+0000
55,1898273600,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '038222105', 'symbol': 'AMAT'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:57:44+0000
56,1898273603,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '254687106', 'symbol': 'DIS'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:57:45+0000
57,1898273602,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '084670702', 'symbol': 'BRK.B'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:57:45+0000
58,1898273613,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '92826C839', 'symbol': 'V'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:57:50+0000
59,1898273612,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '91324P102', 'symbol': 'UNH'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:57:50+0000
60,1898273609,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '88579Y101', 'symbol': 'MMM'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:57:48+0000
61,1898273608,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': 'G5960L103', 'symbol': 'MDT'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:57:48+0000
62,1898273611,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '882508104', 'symbol': 'TXN'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:57:49+0000
63,1898273610,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '855244109', 'symbol': 'SBUX'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T16:57:49+0000
64,1898273254,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': 'G1151C101', 'symbol': 'ACN'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T15:42:47+0000
65,1898273250,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': 'G1151C101', 'symbol': 'ACN'}",BUY,4000.0,4000.0,0.0,REJECTED,2021-01-10T15:35:42+0000
